DAY,MONTH,YEAR,DAYNAME,DATE,HOUR,GENERAL_SUPPLY_KWH
3,6,2012,Sunday,6/3/2012,9,0.398526771
4,2,2012,Saturday,2/4/2012,15,0.306527233
8,10,2012,Monday,10/8/2012,11,0.230489802
30,3,2013,Saturday,3/30/2013,15,0.259226372
29,11,2012,Thursday,11/29/2012,15,0.349622743
14,5,2013,Tuesday,5/14/2013,3,0.156833200
16,10,2013,Wednesday,10/16/2013,17,0.333372023
14,12,2011,Wednesday,12/14/2011,3,0.164458549
19,11,2012,Monday,11/19/2012,9,0.226759424
17,9,2013,Tuesday,9/17/2013,9,0.263943358
9,8,2013,Friday,8/9/2013,3,0.223039529
23,10,2011,Sunday,10/23/2011,7,0.238121739
2,9,2012,Sunday,9/2/2012,7,0.296486171
26,7,2012,Thursday,7/26/2012,5,0.234007246
4,1,2014,Saturday,1/4/2014,13,0.345623240
12,2,2013,Tuesday,2/12/2013,21,0.318795396
12,10,2013,Saturday,10/12/2013,9,0.266347324
25,11,2012,Sunday,11/25/2012,23,0.255698599
14,4,2012,Saturday,4/14/2012,17,0.396421333
21,9,2013,Saturday,9/21/2013,17,0.295527713
23,6,2013,Sunday,6/23/2013,23,0.413538343
15,7,2012,Sunday,7/15/2012,19,0.684475729
13,10,2013,Sunday,10/13/2013,1,0.180550330
17,5,2013,Friday,5/17/2013,19,0.521047440
28,8,2012,Tuesday,8/28/2012,23,0.318906778
12,2,2014,Wednesday,2/12/2014,7,0.275030104
31,7,2013,Wednesday,7/31/2013,21,0.558751457
12,10,2012,Friday,10/12/2012,19,0.520844287
6,1,2013,Sunday,1/6/2013,21,0.403513047
19,11,2013,Tuesday,11/19/2013,11,0.236088589
15,2,2014,Saturday,2/15/2014,3,0.172532812
21,7,2012,Saturday,7/21/2012,21,0.561546534
28,10,2011,Friday,10/28/2011,23,0.224394958
8,12,2012,Saturday,12/8/2012,20,0.381151982
2,3,2014,Sunday,3/2/2014,0,0.201295742
10,6,2012,Sunday,6/10/2012,18,0.689798389
20,12,2011,Tuesday,12/20/2011,16,0.272522959
29,4,2012,Sunday,4/29/2012,18,0.627563288
6,1,2014,Monday,1/6/2014,6,0.214244759
2,2,2014,Sunday,2/2/2014,12,0.375137681
18,11,2013,Monday,11/18/2013,8,0.289295064
8,11,2012,Thursday,11/8/2012,18,0.392866670
23,10,2013,Wednesday,10/23/2013,10,0.278575357
21,3,2013,Thursday,3/21/2013,20,0.370597353
2,7,2013,Tuesday,7/2/2013,20,0.640615082
17,11,2013,Sunday,11/17/2013,0,0.192785709
22,10,2013,Tuesday,10/22/2013,2,0.176056009
27,2,2013,Wednesday,2/27/2013,22,0.319295221
29,10,2011,Saturday,10/29/2011,20,0.363470588
4,5,2013,Saturday,5/4/2013,16,0.282038623
6,7,2012,Friday,7/6/2012,16,0.413012087
28,7,2013,Sunday,7/28/2013,22,0.493907657
30,12,2012,Sunday,12/30/2012,22,0.268822296
26,1,2012,Thursday,1/26/2012,20,0.351398387
1,8,2012,Wednesday,8/1/2012,22,0.587883946
17,10,2012,Wednesday,10/17/2012,16,0.278314727
7,1,2014,Tuesday,1/7/2014,14,0.230723887
1,3,2014,Saturday,3/1/2014,8,0.294014969
18,3,2012,Sunday,3/18/2012,16,0.379595347
27,8,2012,Monday,8/27/2012,20,0.583418442
15,8,2013,Thursday,8/15/2013,16,0.260004268
10,9,2013,Tuesday,9/10/2013,18,0.408045270
12,11,2011,Saturday,11/12/2011,18,0.310335938
12,4,2013,Friday,4/12/2013,18,0.372071330
8,3,2012,Thursday,3/8/2012,22,0.291012015
1,2,2014,Saturday,2/1/2014,4,0.185801834
22,4,2013,Monday,4/22/2013,21,0.373896077
20,12,2013,Friday,12/20/2013,9,0.291896461
14,9,2012,Friday,9/14/2012,19,0.502835871
6,6,2013,Thursday,6/6/2013,19,0.581401571
28,10,2013,Monday,10/28/2013,5,0.184431603
27,1,2014,Monday,1/27/2014,11,0.286636255
9,4,2012,Monday,4/9/2012,23,0.270479106
26,12,2011,Monday,12/26/2011,23,0.229980488
15,2,2012,Wednesday,2/15/2012,17,0.395022048
25,9,2012,Tuesday,9/25/2012,23,0.262419054
6,10,2013,Sunday,10/6/2013,21,0.329985718
10,12,2012,Monday,12/10/2012,19,0.388855759
30,6,2012,Saturday,6/30/2012,23,0.393280398
3,3,2014,Monday,3/3/2014,15,0.23925
11,3,2013,Monday,3/11/2013,19,0.424887801
14,7,2013,Sunday,7/14/2013,17,0.546818385
29,10,2013,Tuesday,10/29/2013,13,0.234767196
19,12,2013,Thursday,12/19/2013,1,0.178790427
29,8,2013,Thursday,8/29/2013,23,0.290128378
1,5,2012,Tuesday,5/1/2012,21,0.475375171
5,12,2013,Thursday,12/5/2013,7,0.279062151
24,1,2012,Tuesday,1/24/2012,19,0.386420530
23,5,2012,Wednesday,5/23/2012,21,0.581609238
4,3,2014,Tuesday,3/4/2014,7,0.226425532
